교과목명(미확정구분),교과목번호,분반,교수명,시간/강의실,수강대상학과,개설학과,교양평점,
생활속의심리학,ZF1101117,009,이화진,"월 13:30(75) 422-507,<br/> 수 13:30(75) 422-507",,심리학과<br/>(051-510-1561),4.96,
생활속의심리학,ZF1101117,010,이인영,"월 16:30(75) 421-302,<br/> 수 16:30(75) 421-302",,심리학과<br/>(051-510-1561),4.39,
생활속의심리학,ZF1101117,011,권소영,"화 15:00(75) 422-507,<br/> 목 15:00(75) 422-507",,심리학과<br/>(051-510-1561),4.67,
생활속의심리학,ZF1101117,012,하혜주,금 10:00-13:00 421-401,,심리학과<br/>(051-510-1561),4.9,
생활속의심리학,ZF1101117,013,권유리,금 14:00-17:00 421-401,,심리학과<br/>(051-510-1561),4.64,
대학생을 위한 정보자료의 활용,ZF1200646,001,임여주,"월 13:30(75) 421-201,<br/> 수 13:30(75) 421-201",,문헌정보학과<br/>(051-510-1562),4.55,
대학생을 위한 정보자료의 활용,ZF1200646,002,주소현,"월 13:30(75) 422-508,<br/> 수 13:30(75) 422-508",,문헌정보학과<br/>(051-510-1562),5,
글로벌 사회의 디지털 시민 의식,ZF1200715,001,HOLLISTER JONATHAN,"화 15:00(75) 421-102,<br/> 목 15:00(75) 421-102",,문헌정보학과<br/>(051-510-1562),4.86,
국제사회란 무엇인가,ZF1200432,001,진시원,금 16:00-19:00 417-306,,일반사회교육과<br/>(051-510-1617),4.33,
예술영화와미적체험,ZF1100771,101,문관규,수 14:00-17:00 601-326,,예술문화영상학과<br/>(051-510-3755),4,
예술영화와미적체험,ZF1100771,102,구혜원,수 14:00-17:00 601-227,,예술문화영상학과<br/>(051-510-3755),4.71,
예술영화와미적체험,ZF1100771,103,강지원,수 14:00-17:00 601-313,,예술문화영상학과<br/>(051-510-3755),4.69,
예술영화와미적체험,ZF1100771,200,김은정,수 10:00-13:00 밀양M02-2314,,예술문화영상학과<br/>(051-510-3755),4.67,
예술영화와미적체험,ZF1100771,300,강지원,금 09:00-12:00 양산Y15-411,,예술문화영상학과<br/>(051-510-3755),4.69,
창업과혁신,ZF1100126,002,강희경,"화 12:00(75) 514-313-1,<br/> 목 12:00(75) 514-313-1",,경영학과<br/>(+82|051-510-1854),4.25,
영화로보는회계,ZF1101116,001,지상현,금 10:00-13:00 514-213-1,,경영학과<br/>(+82|051-510-1854),4.89,
MZ세대를위한조직생활,ZF1101142,001,전경주,"월 12:00(75) 514-214,<br/> 수 12:00(75) 514-214",,경영학과<br/>(+82|051-510-1854),평가 없음,대체로 4미만
한국문화의이해,ZF1200169,001,황은덕,"화 10:30(75) 514-212,<br/> 목 10:30(75) 514-212",,교양교육원<br/>(051-510-3844~6),4.5,
서양미술과사회,ZF1200407,001,레기나 보데,금 09:00-12:00 210-603,,교양교육원<br/>(051-510-3844~6),4.18,
기술과ESG경영,ZF1101075,001,류정란,"화 12:00(75) 508-203,<br/> 목 12:00(75) 508-203",,교육인증원<br/>(051-510-3758),4.73,
기술과ESG경영,ZF1101075,002,류정란,"화 13:30(75) 508-203,<br/> 목 13:30(75) 508-203",,교육인증원<br/>(051-510-3758),4.73,
기술과ESG경영,ZF1101075,003,류정란,금 10:00-13:00 508-202,,교육인증원<br/>(051-510-3758),4.73,
부산 사람의 삶과 문화,ZF1101028,001,차철욱 외 4명,금 15:00-18:00 105-3314,,한국민족문화연구소<br/>(051-510-1882),4.5,
성과사랑,ZF1100885,001,김인선 외 1명,"월 12:00(75) 421-204,<br/> 수 12:00(75) 421-204",,여성연구소<br/>(051-510-1893),평가 없음,
성과사랑,ZF1100885,200,배혜정 외 1명,화 10:00-13:00 밀양M01-1110,,여성연구소<br/>(051-510-1893),4.75,
"젠더,섹슈얼리티그리고인권",ZF1200384,001,김인선 외 1명,"월 15:00(75) 422-303,<br/> 수 15:00(75) 422-303",,여성연구소<br/>(051-510-1893),평가 없음,
역사와함께읽는고사성어,ZF1200377,200,신상필,"화 13:30(75) 밀양M02-2314,<br/> 목 13:30(75) 밀양M02-2314",,점필재연구소<br/>(051-510-5886),4.47,
정의란무엇인가,ZF1200547,001,이상봉,"화 13:30(75) 105-3314,<br/> 목 13:30(75) 105-3314",,통일한국연구원<br/>(051-510-7932),4.6,
엔터테인먼트 산업을 통해 보는 패션,ZF1101120,001,백영미,"월 16:30(75) 105-3314,<br/> 수 16:30(75) 105-3314",,문화유산보존연구소<br/>(051-510-2848),4.47,
생활과경제,ZF1100112,001,전창완,"월 15:00(75) 516-307,<br/> 수 15:00(75) 516-307",,경제학부<br/>(051-510-1658),4,
생활과경제,ZF1100112,002,여정원,"월 15:00(75) 516-207,<br/> 수 15:00(75) 516-207",,경제학부<br/>(051-510-1658),4,
마음을움직이는경제학,ZF1200117,001,원두환,금 09:00-12:00 516-L(B)101,,경제학부<br/>(051-510-1658),4.32,
