교과목명(미확정구분),교과목번호,분반,교수명,시간/강의실,수강대상학과,개설학과,교양평점
독일어(I),ZF1100536,005,서은주,"화 09:00(75) 306-203,<br/> 목 09:00(75) 306-203",,독어독문학과<br/>(051-510-1512),4.03
독일어(I),ZF1100536,006,김동조,"월 13:30(75) 306-211,<br/> 수 13:30(75) 306-211",,독어독문학과<br/>(051-510-1512),4.7
독일어(I),ZF1100536,007,김기빈,"월 13:30(75) 306-206,<br/> 수 13:30(75) 306-206",,독어독문학과<br/>(051-510-1512),4.81
독일어(II),ZF1100537,001,박영미,"월 10:30(75) 306-311,<br/> 수 10:30(75) 306-311",,독어독문학과<br/>(051-510-1512),4.13
한문(I),ZF1100251,001,전송희,"월 09:00(75) 306-501,<br/> 수 09:00(75) 306-501",,한문학과<br/>(051-510-1516),4.85
한문(I),ZF1100251,002,류화정,"월 10:30(75) 306-408,<br/> 수 10:30(75) 306-408",,한문학과<br/>(051-510-1516),4.68
한문(I),ZF1100251,003,전송희,"월 10:30(75) 306-210,<br/> 수 10:30(75) 306-210",,한문학과<br/>(051-510-1516),4.85
한문(I),ZF1100251,004,류화정,"월 12:00(75) 306-206,<br/> 수 12:00(75) 306-206",,한문학과<br/>(051-510-1516),4.68
한문(I),ZF1100251,005,엄형섭,금 10:00-13:00 306-210,,한문학과<br/>(051-510-1516),4.51
한문(I),ZF1100251,006,전민경,"화 09:00(75) 306-408,<br/> 목 09:00(75) 306-408",,한문학과<br/>(051-510-1516),4.91
한문(I),ZF1100251,007,최금자,"화 10:30(75) 306-210,<br/> 목 10:30(75) 306-210",,한문학과<br/>(051-510-1516),4.7
한문(I),ZF1100251,008,전민경,"화 10:30(75) 306-206,<br/> 목 10:30(75) 306-206",,한문학과<br/>(051-510-1516),4.91
한문(I),ZF1100251,009,엄형섭,금 14:00-17:00 306-210,,한문학과<br/>(051-510-1516),4.51
한문(I),ZF1100251,010,이강석,"화 12:00(75) 306-408,<br/> 목 12:00(75) 306-408",,한문학과<br/>(051-510-1516),3.17
한문(I),ZF1100251,011,이성혜,"월 16:30(75) 306-314,<br/> 수 16:30(75) 306-314",,한문학과<br/>(051-510-1516),3.89
한문(I),ZF1100251,200,신일권,목 10:00-13:00 밀양M02-2111,,한문학과<br/>(051-510-1516),4.74
한문(II),ZF1100252,001,신재식,"월 13:30(75) 306-314,<br/> 수 13:30(75) 306-314",,한문학과<br/>(051-510-1516),4.62
한문(II),ZF1100252,002,전지원,"월 15:00(75) 405-2104,<br/> 수 15:00(75) 405-2104",,한문학과<br/>(051-510-1516),4.86
한문(II),ZF1100252,003,이강석,"화 13:30(75) 306-411,<br/> 목 13:30(75) 306-411",,한문학과<br/>(051-510-1516),5
한문(II),ZF1100252,004,남윤덕,"화 15:00(75) 306-210,<br/> 목 15:00(75) 306-210",,한문학과<br/>(051-510-1516),4.64
기초스페인어,ZF1100677,001,박효영,"월 09:00(75) 514-105,<br/> 수 09:00(75) 514-105",,교양교육원<br/>(051-510-3844~6),4.68
실용스페인어,ZF1100706,001,박효영,"월 10:30(75) 514-105,<br/> 수 10:30(75) 514-105",,교양교육원<br/>(051-510-3844~6),4.7
베트남어,ZF1100870,001,보람수언,금 09:00-12:00 416-B104,,교양교육원<br/>(051-510-3844~6),4.22
기업영어,ZF1100898,001,조윤실,"월 10:30(75) 422-803,<br/> 수 10:30(75) 422-803",,교양교육원<br/>(051-510-3844~6),4.26
기업영어,ZF1100898,002,조윤실,"월 12:00(75) 422-803,<br/> 수 12:00(75) 422-803",,교양교육원<br/>(051-510-3844~6),4.26
고급영문독해,ZF1100902,001,주보현,"월 09:00(75) 210-307,<br/> 수 09:00(75) 210-307",,교양교육원<br/>(051-510-3844~6),4.88
고급영문독해,ZF1100902,002,주보현,"월 10:30(75) 210-307,<br/> 수 10:30(75) 210-307",,교양교육원<br/>(051-510-3844~6),4.88
영어글쓰기,ZF1100904,001,이동주,"월 12:00(75) 210-307,<br/> 수 12:00(75) 210-307",,교양교육원<br/>(051-510-3844~6),4.83
영어글쓰기,ZF1100904,002,이동주,"월 13:30(75) 210-307,<br/> 수 13:30(75) 210-307",,교양교육원<br/>(051-510-3844~6),4.83
영어글쓰기,ZF1100904,003,강영아,"월 12:00(75) 210-603,<br/> 수 12:00(75) 210-603",,교양교육원<br/>(051-510-3844~6),5
영어글쓰기,ZF1100904,004,강영아,"월 13:30(75) 210-603,<br/> 수 13:30(75) 210-603",,교양교육원<br/>(051-510-3844~6),5
영어글쓰기,ZF1100904,200,강형진,화 10:00-13:00 밀양M03-3243,,교양교육원<br/>(051-510-3844~6),등록된 평가 없음
이태리어,ZF1200067,001,김영숙,"월 10:30(75) 514-212,<br/> 수 10:30(75) 514-212",,교양교육원<br/>(051-510-3844~6),3.89
인도네시아어,ZF1200209,001,장상경,금 09:00-12:00 514-105,,교양교육원<br/>(051-510-3844~6),4.74
영어구문연습,ZF1200283,001,신진원,"화 10:30(75) 210-307,<br/> 목 10:30(75) 210-307",,교양교육원<br/>(051-510-3844~6),4.61
영어구문연습,ZF1200283,002,신진원,"화 12:00(75) 210-307,<br/> 목 12:00(75) 210-307",,교양교육원<br/>(051-510-3844~6),4.61
영어구문연습,ZF1200283,003,이현정,"화 10:30(75) 210-603,<br/> 목 10:30(75) 210-603",,교양교육원<br/>(051-510-3844~6),5
영어표현연습(I),ZF1200284,001,최정인,"화 13:30(75) 210-307,<br/> 목 13:30(75) 210-307",,교양교육원<br/>(051-510-3844~6),4.88
영어표현연습(I),ZF1200284,002,최정인,"화 15:00(75) 210-307,<br/> 목 15:00(75) 210-307",,교양교육원<br/>(051-510-3844~6),4.88
영어표현연습(I),ZF1200284,003,박혜정,"화 13:30(75) 210-603,<br/> 목 13:30(75) 210-603",,교양교육원<br/>(051-510-3844~6),4.49
영어표현연습(I),ZF1200284,004,박혜정,"화 15:00(75) 210-603,<br/> 목 15:00(75) 210-603",,교양교육원<br/>(051-510-3844~6),4.49
유학생을위한교양한국어,ZF1200529,100,차윤정,"화 10:30(75) 201-6210,<br/> 목 10:30(75) 201-6210",,교양교육원<br/>(051-510-3844~6),4
공학도를위한기본영어,ZF1101036,001,우정임,"월 12:00(75) 508-202,<br/> 수 12:00(75) 508-202",,교육인증원<br/>(051-510-3758),4.38
공학도를위한기본영어,ZF1101036,002,우정임,"월 13:30(75) 508-202,<br/> 수 13:30(75) 508-202",,교육인증원<br/>(051-510-3758),4.38
공학도를위한기본영어,ZF1101036,003,우정임,"화 12:00(75) 508-202,<br/> 목 12:00(75) 508-202",,교육인증원<br/>(051-510-3758),4.38
